Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
PLCG1	"NCKAP3, PLC-II, PLC1, PLC148, PLCgamma1"	ENSG00000124181	"Phospholipase C gamma 1"	P19174	20	41136960-41196801	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Host-virus interaction, Lipid degradation, Lipid metabolism"	"Hydrolase, Transducer"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 32.6;Astrocytes: 67.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	8	"gdT-cell: 4.7;MAIT T-cell: 6.4;memory CD4 T-cell: 4.1;memory CD8 T-cell: 3.9;naive CD4 T-cell: 4.3;naive CD8 T-cell: 4.3;NK-cell: 3.4;T-reg: 3.8"	"Group enriched"	"Detected in many"	9	"NK-cells: 3.4;T-cells: 6.4"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB004277, HPA036681, HPA036682"	Approved		Approved	Cytosol		NA	NA			"Cluster 16: MAIT-cells - Unknown function"	"Cluster 32: Brain & Lymphoid tissue - Unknown function"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 2: T-cells - T-cell receptor"	Cytosol		"CAB004277: AB_628119, HPA036681: AB_2675245, HPA036682: AB_2675246"	"unprognostic (2.77e-1)"	"unprognostic (1.35e-1)"	"unprognostic (1.65e-1)"	"unprognostic (4.31e-2)"	"unprognostic (5.82e-2)"	"unprognostic (2.09e-2)"	"unprognostic (4.45e-3)"	"unprognostic (1.25e-2)"	"unprognostic (2.29e-2)"	"unprognostic (1.16e-1)"	"prognostic favorable (4.72e-4)"	"unprognostic (3.32e-1)"	"unprognostic (2.73e-3)"	"unprognostic (1.82e-1)"	"unprognostic (2.65e-1)"	"unprognostic (9.27e-2)"	"unprognostic (2.79e-2)"
PLCG2		ENSG00000197943	"Phospholipase C gamma 2"	P16885	16	81739097-81962685	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Lipid degradation, Lipid metabolism"	"Hydrolase, Transducer"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	7	"brain: 706.3;choroid plexus: 347.5"	"Cell type enhanced"	"Detected in many"		"B-cells: 84.2;Microglial cells: 93.0;NK-cells: 44.5;Plasma cells: 97.6"	"Cancer enhanced"	"Detected in all"		"renal cancer: 9.0"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Group enriched"	"Detected in many"	7	"Leukemia: 34.8;lymphoma: 123.9;Myeloma: 32.1"	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Kidney - Intercalated cells, Liver - Hepatocytes, Prostate - Endothelial cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"CAB004280, HPA020099, HPA020100"	Enhanced		Approved	Nucleoplasm,Vesicles,Cytosol		NA	NA		8200	"Cluster 5: Granulocytes - Unknown function"	"Cluster 69: Cerebellum - Gene expression regulation"	"Cluster 23: B-cell cancers - Adaptive immune response"	"Cluster 62: B-cells - B-cell activation"	"Vesicles, Cytosol"	Nucleoplasm	"CAB004280: AB_628120, HPA020099: AB_1855324, HPA020100: AB_1855325"	"unprognostic (2.86e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.09e-3)"	"unprognostic (1.10e-1)"	"unprognostic (1.58e-1)"	"prognostic favorable (6.71e-4)"	"unprognostic (6.23e-2)"	"unprognostic (5.01e-2)"	"unprognostic (2.22e-1)"	"unprognostic (4.58e-2)"	"unprognostic (4.66e-2)"	"unprognostic (1.71e-2)"	"prognostic favorable (4.88e-4)"	"unprognostic (1.52e-2)"	"unprognostic (1.21e-1)"	"unprognostic (2.89e-1)"	"unprognostic (3.40e-3)"
PLEC	"EBS1, PCN, PLEC1, PLTN"	ENSG00000178209	Plectin	Q15149	8	143915153-143976734	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Cancer-related genes, Disease variant, Epidermolysis bullosa, Limb-girdle muscular dystrophy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 256.5"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB003847, HPA025967, HPA029906"	Enhanced		Supported	"Intermediate filaments,Focal adhesion sites,Cytosol"		NA	NA		7400000	"Cluster 39: Non-specific - mRNA processing"	"Cluster 59: Non-specific - Translation"	"Cluster 25: Non-specific - Basic cellular processes"	"Cluster 74: Pancreatic cells - Mixed function"	"Intermediate filaments, Cytosol"	"Focal adhesion sites"	"CAB003847: AB_562198, HPA025967: AB_10601671, HPA029906: AB_10602279"	"unprognostic (1.02e-1)"	"unprognostic (1.37e-3)"	"prognostic unfavorable (4.29e-4)"	"unprognostic (2.09e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.05e-2)"	"unprognostic (1.76e-3)"	"prognostic unfavorable (5.33e-4)"	"unprognostic (1.72e-3)"	"unprognostic (1.13e-2)"	"unprognostic (2.85e-3)"	"unprognostic (5.48e-2)"	"prognostic unfavorable (7.98e-6)"	"unprognostic (2.30e-1)"	"unprognostic (4.04e-2)"	"unprognostic (6.58e-2)"	"unprognostic (5.58e-3)"
PLG		ENSG00000122194	Plasminogen	P00747	6	160702238-160754097	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins"	"Blood coagulation, Fibrinolysis, Hemostasis, Tissue remodeling"	"Hydrolase, Protease, Serine protease"	"Cancer-related genes, Disease variant, FDA approved drug targets, Thrombophilia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	11	"liver: 2666.4"	"Cell type enriched"	"Detected in some"	5	"Hepatocytes: 1638.0"	"Cancer enriched"	"Detected in some"	84	"liver cancer: 180.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	6	"liver cancer: 2.2"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells"					"Low region specificity"	"Detected in many"			"CAB000668, CAB016678, HPA021602, HPA048823, HPA053770"	Supported		Approved	Vesicles	"Secreted to blood"	NA	NA	140000000000	45000000000		"Cluster 85: Liver - Metabolism"	"Cluster 35: Liver cancer - Metabolism"	"Cluster 29: Hepatocytes - Metabolism"	Vesicles		"CAB000668: , CAB016678: AB_1621208, HPA021602: AB_1855453, HPA048823: AB_2680532, HPA053770: AB_2682256"		"unprognostic (1.70e-1)"		"unprognostic (2.16e-3)"	"unprognostic (2.44e-1)"		"unprognostic (8.54e-3)"	"unprognostic (1.41e-1)"		"unprognostic (1.76e-3)"	"unprognostic (6.28e-2)"	"unprognostic (7.25e-2)"	"prognostic favorable (4.22e-4)"	"unprognostic (3.97e-3)"	"unprognostic (5.21e-2)"		"unprognostic (2.33e-2)"
PLK1	PLK	ENSG00000166851	"Polo like kinase 1"	P53350	16	23677656-23690367	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 32.0;lymphoid tissue: 43.9;testis: 33.1"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 34.4;Early spermatids: 139.3;Erythroid cells: 53.7;Extravillous trophoblasts: 56.8;Plasma cells: 40.3;Spermatocytes: 65.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	5	"T-reg: 5.6"	"Lineage enriched"	"Detected in many"	5	"T-cells: 5.6"	"Low cancer specificity"	"Detected in all"			"Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"HPA051638, HPA053229"	Approved					NA	Yes			"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 43: Non-specific - Cell proliferation"			"HPA051638: AB_2681561, HPA053229: AB_2682084"	"unprognostic (7.21e-3)"	"unprognostic (1.77e-1)"	"unprognostic (1.98e-3)"	"unprognostic (4.97e-3)"	"unprognostic (9.56e-2)"	"unprognostic (5.12e-2)"	"prognostic unfavorable (2.70e-7)"	"prognostic unfavorable (2.28e-5)"	"unprognostic (2.55e-2)"	"unprognostic (1.89e-1)"	"prognostic unfavorable (4.12e-4)"	"unprognostic (1.24e-2)"	"prognostic unfavorable (0.00e+0)"	"unprognostic (1.33e-1)"	"unprognostic (8.10e-2)"	"unprognostic (1.19e-1)"	"unprognostic (1.26e-2)"
PLP1	"GPM6C, PLP, SPG2"	ENSG00000123560	"Proteolipid protein 1"	P60201	X	103773718-103792619	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted membrane proteins"			"Cancer-related genes, Disease variant, Hereditary spastic paraplegia, Leukodystrophy, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"brain: 7004.9"	"Cell type enriched"	"Detected in many"	4	"Oligodendrocytes: 4552.3"	"Group enriched"	"Detected in many"	22	"glioma: 160.5;melanoma: 75.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"skin cancer: 218.3"	"Adipose visceral - Smooth muscle cells, Colon - Enteric glia cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA004128	Enhanced					NA	NA			"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 70: Brain - Nervous system development"	"Cluster 33: Skin cancer - Membrane components"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"			"HPA004128: AB_1079635"	"unprognostic (5.72e-2)"	"unprognostic (1.77e-2)"	"unprognostic (2.27e-2)"	"unprognostic (4.09e-3)"	"unprognostic (1.32e-1)"	"unprognostic (3.95e-2)"		"unprognostic (2.57e-2)"	"unprognostic (1.02e-1)"	"unprognostic (5.92e-2)"	"unprognostic (2.28e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.62e-5)"	"unprognostic (4.91e-2)"	"unprognostic (1.86e-1)"	"unprognostic (3.46e-2)"	"unprognostic (1.16e-2)"
PMEPA1	"STAG1, TMEPAI"	ENSG00000124225	"Prostate transmembrane protein, androgen induced 1"	Q969W9	20	57648392-57711536	"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Ubl conjugation pathway"	"Signal transduction inhibitor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"prostate: 110.8"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 291.1;dendritic cells: 262.7;Ductal cells: 345.7;Muller glia cells: 317.9;Prostatic glandular cells: 647.6"	"Cancer enhanced"	"Detected in all"		"prostate cancer: 157.4"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	6	"naive B-cell: 6.3;plasmacytoid DC: 23.9"	"Group enriched"	"Detected in many"	8	"B-cells: 6.3;dendritic cells: 23.9"	"Low cancer specificity"	"Detected in all"			"Breast - Adipocytes (Breast), Colon - Enteric glia cells, Prostate - Prostate glandular cells, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA072291			Supported	Vesicles	"Intracellular and membrane"	NA	NA			"Cluster 47: Plasmacytoid DCs - Protein folding"	"Cluster 57: Non-specific - Angiogenesis"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 74: Pancreatic cells - Mixed function"	Vesicles		"HPA072291: AB_2686509"	"unprognostic (2.72e-3)"	"prognostic unfavorable (2.45e-4)"	"unprognostic (5.77e-2)"	"unprognostic (1.73e-1)"	"unprognostic (6.61e-2)"	"unprognostic (2.11e-3)"	"unprognostic (3.13e-2)"	"prognostic unfavorable (4.73e-5)"	"unprognostic (5.53e-1)"	"unprognostic (1.32e-3)"	"unprognostic (7.83e-3)"	"unprognostic (2.02e-1)"	"prognostic unfavorable (2.87e-7)"	"unprognostic (1.16e-1)"	"unprognostic (2.35e-1)"	"unprognostic (9.87e-3)"	"prognostic unfavorable (7.60e-4)"
PML	"MYL, RNF71, TRIM19"	ENSG00000140464	"PML nuclear body scaffold"	P29590	15	73994673-74047827	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Antiviral defense, Apoptosis, Biological rhythms, Host-virus interaction, Immunity, Innate immunity, Transcription, Transcription regulation"	"Activator, DNA-binding, Transferase"	"Cancer-related genes, Proto-oncogene, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Adipocytes: 123.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Endothelial cells, Breast - Endothelial cells, Heart muscle - Endothelial cells, Skeletal muscle - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008312, CAB010194, CAB016304"	Supported		Enhanced	"Nuclear bodies"		NA	NA			"Cluster 52: Eosinophils - Transcription"	"Cluster 82: Adipose tissue - ECM organization"	"Cluster 30: Non-specific - Antiviral immune response"	"Cluster 66: Endothelial cells - Angiogenesis"	"Nuclear bodies"		"CAB010194: AB_2166848, CAB016304: AB_628162, HPA008312: AB_1079643"	"prognostic favorable (3.24e-4)"	"unprognostic (4.83e-2)"	"unprognostic (5.76e-2)"	"unprognostic (1.58e-3)"	"unprognostic (7.53e-3)"	"unprognostic (1.58e-1)"	"unprognostic (2.35e-2)"	"unprognostic (5.30e-3)"	"unprognostic (4.54e-3)"	"unprognostic (1.15e-1)"	"prognostic unfavorable (3.29e-4)"	"unprognostic (2.67e-2)"	"prognostic unfavorable (6.27e-8)"	"unprognostic (1.58e-2)"	"unprognostic (4.17e-2)"	"unprognostic (1.02e-1)"	"unprognostic (8.99e-2)"
PMP22	"CMT1A, GAS3, HMSNIA, HNPP, Sp110"	ENSG00000109099	"Peripheral myelin protein 22"	Q01453	17	15229773-15272292	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Cancer-related genes, Charcot-Marie-Tooth disease, Deafness, Dejerine-Sottas syndrome, Disease variant, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Fibroblasts: 348.0;Hofbauer cells: 503.1;Leydig cells: 343.0;Melanocytes: 574.7;Proximal enterocytes: 719.0;Schwann cells: 1074.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"basophil: 32.2;eosinophil: 43.0;plasmacytoid DC: 23.8"	"Group enriched"	"Detected in many"	22	"dendritic cells: 23.8;granulocytes: 43.0"	"Group enriched"	"Detected in many"	5	"Brain cancer: 146.7;Rhabdoid: 117.0;skin cancer: 226.1;testis cancer: 333.9"	"Lung - Fibroblast_1"														"Intracellular and membrane"	NA	NA			"Cluster 2: Granulocytes - Unknown function"	"Cluster 57: Non-specific - Angiogenesis"	"Cluster 33: Skin cancer - Membrane components"	"Cluster 53: Connective tissue cells - ECM organization"				"unprognostic (3.00e-1)"	"unprognostic (1.65e-1)"	"unprognostic (2.21e-1)"	"unprognostic (4.63e-1)"	"unprognostic (5.57e-3)"	"unprognostic (2.28e-2)"	"unprognostic (1.90e-1)"	"unprognostic (1.65e-1)"	"unprognostic (3.74e-1)"	"unprognostic (4.33e-2)"	"unprognostic (7.70e-2)"	"unprognostic (1.51e-1)"	"prognostic unfavorable (1.73e-4)"	"unprognostic (1.83e-2)"	"unprognostic (5.45e-2)"	"unprognostic (2.88e-1)"	"unprognostic (1.08e-2)"
PMS2	"H_DJ0042M02.9, HNPCC4, MLH4, PMSL2"	ENSG00000122512	"PMS1 homolog 2, mismatch repair system component"	P54278	7	5970925-6009106	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"DNA damage, DNA repair"	"Endonuclease, Hydrolase, Nuclease"	"Cancer-related genes, Disease variant, Hereditary nonpolyposis colorectal cancer, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB010235, HPA070310"	Approved		Supported	Nucleoplasm,Cytosol		NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 34: Non-specific - Transcription"	"Cluster 63: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	Nucleoplasm	Cytosol	"CAB010235: AB_2167281, HPA070310: AB_2686250"	"unprognostic (5.13e-2)"	"unprognostic (6.55e-3)"	"unprognostic (1.54e-1)"	"unprognostic (1.43e-3)"	"unprognostic (5.14e-2)"	"unprognostic (1.29e-1)"	"unprognostic (7.36e-2)"	"unprognostic (1.02e-1)"	"unprognostic (7.43e-2)"	"unprognostic (2.35e-1)"	"unprognostic (1.86e-1)"	"unprognostic (7.38e-2)"	"prognostic favorable (1.23e-5)"	"unprognostic (5.31e-2)"	"unprognostic (2.01e-2)"	"unprognostic (3.67e-2)"	"unprognostic (2.81e-2)"
PNMT	PENT	ENSG00000141744	"Phenylethanolamine N-methyltransferase"	P11086	17	39667981-39670475	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Catecholamine biosynthesis"	"Methyltransferase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"adrenal gland: 158.3"	"Group enriched"	"Detected in many"	4	"Basal prostatic cells: 252.1;granulocytes: 76.3"	"Group enriched"	"Detected in many"	5	"breast cancer: 7.7;cervical cancer: 27.0;urothelial cancer: 9.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	6	"breast cancer: 37.7"		"Region enhanced"	"Detected in single"		"basal ganglia: 1.4"	"Not detected"	"Not detected"			"CAB017029, HPA043412, HPA051005"	Enhanced					NA	NA			"Cluster 36: GdT-cells - Adaptive immune response"	"Cluster 17: Adrenal gland - Steroid metabolism"	"Cluster 2: DU4475 - Unknown function"	"Cluster 70: Basal prostatic cells - Lipid metabolism"			"CAB017029: , HPA043412: AB_2630373, HPA051005: AB_2681306"	"unprognostic (1.50e-1)"	"unprognostic (3.74e-2)"	"unprognostic (1.08e-1)"	"prognostic unfavorable (3.95e-5)"	"unprognostic (4.27e-2)"	"unprognostic (3.02e-1)"	"unprognostic (2.98e-2)"	"unprognostic (5.75e-2)"	"unprognostic (5.29e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.51e-1)"	"unprognostic (1.33e-1)"	"unprognostic (1.52e-4)"	"unprognostic (1.58e-1)"	"unprognostic (1.97e-1)"	"unprognostic (4.72e-2)"	"unprognostic (1.87e-2)"
POLD1	"CDC2, POLD"	ENSG00000062822	"DNA polymerase delta 1, catalytic subunit"	P28340	19	50384204-50418018	"Cancer-related genes, Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"DNA damage, DNA excision, DNA repair, DNA replication"	"DNA-binding, DNA-directed DNA polymerase, Exonuclease, Hydrolase, Nuclease, Nucleotidyltransferase, Transferase"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Paneth cells: 49.0;Spermatogonia: 22.3;Undifferentiated cells: 27.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB004375, HPA046524"	Supported		Supported	Nucleoplasm		NA	NA			"Cluster 37: B-cells - Transcription"	"Cluster 75: Bone marrow - mRNA splicing & Cell cycle"	"Cluster 4: Non-specific - Transcription"	"Cluster 43: Non-specific - Cell proliferation"	Nucleoplasm		"CAB004375: AB_675487, HPA046524: AB_2679684"	"unprognostic (2.45e-1)"	"unprognostic (7.02e-3)"	"unprognostic (1.59e-1)"	"unprognostic (4.35e-2)"	"unprognostic (2.55e-1)"	"unprognostic (1.85e-2)"	"prognostic unfavorable (2.87e-6)"	"unprognostic (4.12e-2)"	"unprognostic (1.16e-2)"	"unprognostic (2.83e-1)"	"unprognostic (5.08e-1)"	"unprognostic (3.92e-3)"	"unprognostic (4.01e-3)"	"unprognostic (1.28e-2)"	"unprognostic (1.61e-1)"	"unprognostic (2.89e-1)"	"unprognostic (3.70e-2)"
